Routing Table for Node No. 6 at Time 20
Destination		 Path 		 Cost
0     		6 5 2 1 0 		14
1     		6 5 2 1 		11
2     		6 5 2 		4
3     		6 5 2 3 		12
4     		6 5 4 		10
5     		6 5 		1
7     		6 5 8 7 		9
8     		6 5 8 		3
Routing Table for Node No. 6 at Time 40
Destination		 Path 		 Cost
0     		6 5 2 1 0 		14
1     		6 5 2 1 		11
2     		6 5 2 		4
3     		6 5 2 3 		12
4     		6 5 4 		10
5     		6 5 		1
7     		6 5 8 7 		8
8     		6 5 8 		2
Routing Table for Node No. 6 at Time 60
Destination		 Path 		 Cost
0     		6 5 2 1 0 		14
1     		6 5 2 1 		11
2     		6 5 2 		4
3     		6 5 2 3 		12
4     		6 5 4 		10
5     		6 5 		1
7     		6 5 8 7 		8
8     		6 5 8 		2
Routing Table for Node No. 6 at Time 80
Destination		 Path 		 Cost
0     		6 5 2 1 0 		14
1     		6 5 2 1 		11
2     		6 5 2 		4
3     		6 5 2 3 		12
4     		6 5 4 		10
5     		6 5 		1
7     		6 5 8 7 		8
8     		6 5 8 		2
Routing Table for Node No. 6 at Time 100
Destination		 Path 		 Cost
0     		6 5 2 1 0 		14
1     		6 5 2 1 		11
2     		6 5 2 		4
3     		6 5 2 3 		12
4     		6 5 4 		10
5     		6 5 		1
7     		6 5 8 7 		8
8     		6 5 8 		2
Routing Table for Node No. 6 at Time 120
Destination		 Path 		 Cost
0     		6 5 2 1 0 		14
1     		6 5 2 1 		11
2     		6 5 2 		4
3     		6 5 2 3 		12
4     		6 5 4 		10
5     		6 5 		1
7     		6 5 8 7 		8
8     		6 5 8 		2
