Routing Table for Node No. 4 at Time 20
Destination		 Path 		 Cost
0     		4 8 2 1 0 		23
1     		4 8 2 1 		20
2     		4 8 2 		13
3     		4 3 		8
5     		4 5 		11
6     		4 5 6 		13
7     		4 8 7 		17
8     		4 8 		11
Routing Table for Node No. 4 at Time 40
Destination		 Path 		 Cost
0     		4 8 2 1 0 		22
1     		4 8 2 1 		19
2     		4 8 2 		12
3     		4 3 		8
5     		4 5 		11
6     		4 5 6 		13
7     		4 8 7 		16
8     		4 8 		10
Routing Table for Node No. 4 at Time 60
Destination		 Path 		 Cost
0     		4 8 2 1 0 		21
1     		4 8 2 1 		18
2     		4 8 2 		11
3     		4 3 		8
5     		4 5 		11
6     		4 5 6 		13
7     		4 8 7 		15
8     		4 8 		9
Routing Table for Node No. 4 at Time 80
Destination		 Path 		 Cost
0     		4 8 2 1 0 		21
1     		4 8 2 1 		18
2     		4 8 2 		11
3     		4 3 		8
5     		4 5 		11
6     		4 5 6 		13
7     		4 8 7 		15
8     		4 8 		9
Routing Table for Node No. 4 at Time 100
Destination		 Path 		 Cost
0     		4 8 2 1 0 		21
1     		4 8 2 1 		18
2     		4 8 2 		11
3     		4 3 		8
5     		4 5 		11
6     		4 5 6 		13
7     		4 8 7 		15
8     		4 8 		9
Routing Table for Node No. 4 at Time 120
Destination		 Path 		 Cost
0     		4 8 2 1 0 		23
1     		4 8 2 1 		20
2     		4 8 2 		13
3     		4 3 		8
5     		4 5 		11
6     		4 5 6 		13
7     		4 8 7 		17
8     		4 8 		11
