Routing Table for Node No. 2 at Time 20
Destination		 Path 		 Cost
0     		2 1 0 		10
1     		2 1 		7
3     		2 3 		8
4     		2 5 4 		13
5     		2 5 		4
6     		2 5 6 		6
7     		2 8 7 		8
8     		2 8 		2
Routing Table for Node No. 2 at Time 40
Destination		 Path 		 Cost
0     		2 1 0 		10
1     		2 1 		7
3     		2 3 		8
4     		2 5 4 		13
5     		2 5 		4
6     		2 5 6 		6
7     		2 8 7 		9
8     		2 8 		3
Routing Table for Node No. 2 at Time 60
Destination		 Path 		 Cost
0     		2 1 0 		10
1     		2 1 		7
3     		2 3 		8
4     		2 5 4 		13
5     		2 5 		4
6     		2 5 6 		6
7     		2 8 7 		11
8     		2 8 		5
Routing Table for Node No. 2 at Time 80
Destination		 Path 		 Cost
0     		2 1 0 		10
1     		2 1 		7
3     		2 3 		8
4     		2 5 4 		13
5     		2 5 		4
6     		2 5 6 		6
7     		2 8 7 		9
8     		2 8 		3
Routing Table for Node No. 2 at Time 100
Destination		 Path 		 Cost
0     		2 1 0 		10
1     		2 1 		7
3     		2 3 		8
4     		2 5 4 		13
5     		2 5 		4
6     		2 5 6 		6
7     		2 8 7 		7
8     		2 8 		1
Routing Table for Node No. 2 at Time 120
Destination		 Path 		 Cost
0     		2 1 0 		10
1     		2 1 		7
3     		2 3 		8
4     		2 5 4 		13
5     		2 5 		4
6     		2 5 6 		6
7     		2 8 7 		9
8     		2 8 		3
