Routing Table for Node No. 1 at Time 20
Destination		 Path 		 Cost
0     		1 0 		3
2     		1 0 8 2 		8
3     		1 0 8 2 3 		16
4     		1 0 8 2 5 4 		21
5     		1 0 8 2 5 		12
6     		1 7 6 		12
7     		1 7 		11
8     		1 0 8 		6
Routing Table for Node No. 1 at Time 40
Destination		 Path 		 Cost
0     		1 0 		3
2     		1 8 2 		5
3     		1 8 2 3 		13
4     		1 8 2 5 4 		18
5     		1 8 2 5 		9
6     		1 8 6 		10
7     		1 8 7 		9
8     		1 8 		3
Routing Table for Node No. 1 at Time 60
Destination		 Path 		 Cost
0     		1 0 		3
2     		1 0 8 2 		8
3     		1 0 8 2 3 		16
4     		1 0 8 2 5 4 		21
5     		1 0 8 2 5 		12
6     		1 7 6 		12
7     		1 7 		11
8     		1 0 8 		6
Routing Table for Node No. 1 at Time 80
Destination		 Path 		 Cost
0     		1 0 		3
2     		1 0 8 2 		8
3     		1 0 8 2 3 		16
4     		1 0 8 2 5 4 		21
5     		1 0 8 2 5 		12
6     		1 7 6 		12
7     		1 7 		11
8     		1 0 8 		6
Routing Table for Node No. 1 at Time 100
Destination		 Path 		 Cost
0     		1 0 		3
2     		1 0 8 2 		8
3     		1 0 8 2 3 		16
4     		1 0 8 2 5 4 		21
5     		1 0 8 2 5 		12
6     		1 7 6 		12
7     		1 7 		11
8     		1 0 8 		6
Routing Table for Node No. 1 at Time 120
Destination		 Path 		 Cost
0     		1 0 		3
2     		1 0 8 2 		8
3     		1 0 8 2 3 		16
4     		1 0 8 2 5 4 		21
5     		1 0 8 2 5 		12
6     		1 7 6 		12
7     		1 7 		11
8     		1 0 8 		6
