Routing Table for Node No. 3 at Time 20
Destination		 Path 		 Cost
0     		3 2 1 0 		16
1     		3 2 1 		13
2     		3 2 		6
4     		3 4 		9
5     		3 2 5 		10
6     		3 2 5 6 		12
7     		3 2 8 7 		13
8     		3 2 8 		7
Routing Table for Node No. 3 at Time 40
Destination		 Path 		 Cost
0     		3 2 1 0 		16
1     		3 2 1 		13
2     		3 2 		6
4     		3 4 		9
5     		3 2 5 		10
6     		3 2 5 6 		12
7     		3 2 8 7 		13
8     		3 2 8 		7
Routing Table for Node No. 3 at Time 60
Destination		 Path 		 Cost
0     		3 2 1 0 		16
1     		3 2 1 		13
2     		3 2 		6
4     		3 4 		9
5     		3 2 5 		10
6     		3 2 5 6 		12
7     		3 2 8 7 		13
8     		3 2 8 		7
Routing Table for Node No. 3 at Time 80
Destination		 Path 		 Cost
0     		3 2 1 0 		16
1     		3 2 1 		13
2     		3 2 		6
4     		3 4 		9
5     		3 2 5 		10
6     		3 2 5 6 		12
7     		3 2 8 7 		13
8     		3 2 8 		7
Routing Table for Node No. 3 at Time 100
Destination		 Path 		 Cost
0     		3 2 1 0 		16
1     		3 2 1 		13
2     		3 2 		6
4     		3 4 		9
5     		3 2 5 		10
6     		3 2 5 6 		12
7     		3 2 8 7 		13
8     		3 2 8 		7
Routing Table for Node No. 3 at Time 120
Destination		 Path 		 Cost
0     		3 2 1 0 		16
1     		3 2 1 		13
2     		3 2 		6
4     		3 4 		9
5     		3 2 5 		10
6     		3 2 5 6 		12
7     		3 2 8 7 		13
8     		3 2 8 		7
